REF_DATE,GEO,DGUID,Indicator,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1995,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,412.4,,,,1
1996,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,380.1,,,,1
1997,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,358.6,,,,1
1998,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,366.7,,,,1
1999,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,379.3,,,,1
2000,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,388.7,,,,1
2001,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,384.8,,,,1
2002,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,383.8,,,,1
2003,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,388.7,,,,1
2004,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,383.9,,,,1
2005,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,396.3,,,,1
2006,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,419.3,,,,1
2007,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,412.3,,,,1
2008,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,402.5,,,,1
2009,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,396.8,,,,1
2010,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,399.5,,,,1
2011,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,394.7,,,,1
2012,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,397.5,,,,1
2013,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,382.0,,,,1
2014,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,366.4,,,,1
2015,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,356.5,,,,1
2016,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,366.0,,,,1
2017,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,366.1,,,,1
2018,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,362.2,,,,1
2019,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,338.0,,,,1
2020,Canada,2016A000011124,30-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258930,1.5,256.3,,,,1
1970,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,230.6,,,,1
1971,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,228.5,,,,1
1972,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,241.4,,,,1
1973,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,266.4,,,,1
1974,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,322.2,,,,1
1975,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,351.2,,,,1
1976,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,363.8,,,,1
1977,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,361.7,,,,1
1978,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,365.4,,,,1
1979,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,370.6,,,,1
1980,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,379.7,,,,1
1981,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,410.1,,,,1
1982,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,421.9,,,,1
1983,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,405.9,,,,1
1984,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,384.2,,,,1
1985,Canada,2016A000011124,50-year total divorce rate,"Rate per 1,000 marriages",263,units,0,v1331258931,1.6,364.0,,,,1
